IP address      Client-ID/ 		Lease expiration 	Type       State      Interface
		Hardware address/
		User name
10.85.141.110    0174.27ea.f947.de       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.111    0194.c691.ca77.79       Apr 11 2023 10:41 AM    Automatic  Active     Vlan1
10.85.141.113    0100.e04c.0ab9.31       Apr 11 2023 04:41 PM    Automatic  Active     Vlan1
10.85.141.115    0100.f663.5b5a.34       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.116    016c.0b84.ac2c.64       Apr 11 2023 11:08 AM    Automatic  Active     Vlan1
10.85.141.117    0138.6077.04ef.30       Apr 11 2023 10:54 AM    Automatic  Active     Vlan1
10.85.141.118    011c.a0b8.73af.da       Apr 11 2023 10:41 AM    Automatic  Active     Vlan1
10.85.141.119    011c.a0b8.73e0.c5       Apr 11 2023 04:35 PM    Automatic  Active     Vlan1
10.85.141.120    01e0.d55e.39d4.ff       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.121    0174.27ea.0334.c6       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.122    0174.46a0.95f2.42       Apr 11 2023 11:47 AM    Automatic  Active     Vlan1
10.85.141.123    01f4.4d30.e50c.00       Apr 11 2023 02:55 PM    Automatic  Active     Vlan1
10.85.141.124    0100.e04d.a348.0a       Apr 11 2023 11:07 AM    Automatic  Active     Vlan1
10.85.141.125    011c.a0b8.73af.55       Apr 11 2023 02:27 PM    Automatic  Active     Vlan1
10.85.141.127    a048.1c92.2fae          Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.129    016c.4b90.1b3c.4b       Apr 11 2023 04:33 PM    Automatic  Active     Vlan1
10.85.141.130    0150.9a4c.29c6.82       Apr 11 2023 10:45 AM    Automatic  Active     Vlan1
10.85.141.131    a048.1c89.34d4          Apr 11 2023 10:45 AM    Automatic  Active     Vlan1
10.85.141.132    011c.a0b8.73e0.7e       Apr 11 2023 11:16 AM    Automatic  Active     Vlan1
10.85.141.133    0194.c691.3efa.84       Apr 11 2023 01:57 PM    Automatic  Active     Vlan1
10.85.141.134    0100.e00d.02d2.f3       Apr 11 2023 10:47 AM    Automatic  Active     Vlan1
10.85.141.135    0194.c691.ca78.c4       Apr 11 2023 03:30 PM    Automatic  Active     Vlan1
10.85.141.136    0100.f663.5b56.f0       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.137    0150.9a4c.275d.44       Apr 11 2023 10:59 AM    Automatic  Active     Vlan1
10.85.141.138    0100.f663.4668.78       Apr 11 2023 10:43 AM    Automatic  Active     Vlan1
10.85.141.139    0100.f663.259e.34       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.140    0100.f663.52fa.5c       Apr 11 2023 03:38 PM    Automatic  Active     Vlan1
10.85.141.141    01f8.0bcb.7f85.74       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.142    0100.f663.52ee.a8       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
10.85.141.143    0100.f663.2567.d0       Apr 11 2023 10:42 AM    Automatic  Active     Vlan1
